backend,mode,placement,repetition,event,value,operations
dram,warm-load,same-numa,0,benchmark.average_ns,51.777,1000000
dram,warm-load,same-numa,0,benchmark.p50_ns,59.002,1000000
dram,warm-load,same-numa,0,benchmark.p95_ns,90.003,1000000
dram,warm-load,same-numa,0,benchmark.p99_ns,98.003,1000000
dram,warm-load,same-numa,0,mem_load_retired.local_cxl_mem,0.0,1000000
dram,warm-load,same-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,93.0,1000000
dram,cold-load,same-numa,0,benchmark.average_ns,192.606,1000000
dram,cold-load,same-numa,0,benchmark.p50_ns,169.004,1000000
dram,cold-load,same-numa,0,benchmark.p95_ns,317.008,1000000
dram,cold-load,same-numa,0,benchmark.p99_ns,489.012,1000000
dram,cold-load,same-numa,0,mem_load_retired.local_cxl_mem,0.0,1000000
dram,cold-load,same-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,350.0,1000000
dram,message-passing,same-numa,0,benchmark.average_ns,773.055,1000000
dram,message-passing,same-numa,0,benchmark.p50_ns,0.0,1000000
dram,message-passing,same-numa,0,benchmark.p95_ns,0.0,1000000
dram,message-passing,same-numa,0,benchmark.p99_ns,0.0,1000000
dram,message-passing,same-numa,0,mem_load_l3_hit_retired.xsnp_fwd,2952061.0,1000000
dram,message-passing,same-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,344.0,1000000
dram,message-passing,cross-numa,0,benchmark.average_ns,896.938,1000000
dram,message-passing,cross-numa,0,benchmark.p50_ns,0.0,1000000
dram,message-passing,cross-numa,0,benchmark.p95_ns,0.0,1000000
dram,message-passing,cross-numa,0,benchmark.p99_ns,0.0,1000000
dram,message-passing,cross-numa,0,mem_load_l3_hit_retired.xsnp_fwd,1006764.0,1000000
dram,message-passing,cross-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,365.0,1000000
dram,handoff,same-numa,0,benchmark.average_ns,531.128,2000000
dram,handoff,same-numa,0,benchmark.p50_ns,0.0,2000000
dram,handoff,same-numa,0,benchmark.p95_ns,0.0,2000000
dram,handoff,same-numa,0,benchmark.p99_ns,0.0,2000000
dram,handoff,same-numa,0,mem_load_l3_hit_retired.xsnp_fwd,3986799.0,2000000
dram,handoff,same-numa,0,cxl_pmu_mem0.0/m2s_req_memrd/,288.0,2000000
dram,handoff,cross-numa,0,benchmark.average_ns,511.744,2000000
dram,handoff,cross-numa,0,benchmark.p50_ns,0.0,2000000
dram,handoff,cross-numa,0,benchmark.p95_ns,0.0,2000000
dram,handoff,cross-numa,0,benchmark.p99_ns,0.0,2000000
dram,handoff,cross-numa,0,mem_load_l3_hit_retired.xsnp_fwd,1996606.0,2000000
