graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,snoop_hits,snoop_misses,coh_reqs,back_inv,writebacks,evictions,bias_flips,dev_bias_hits,host_bias_hits,dir_entries,log
erdos_renyi,100,0.0,A,pointer-sharing,2,1,4,0,0,0,0,0,0,0,0,0,256056,rq1_N100.stdout.log
erdos_renyi,100,0.0,B,copy-based,49283,49240,246176866,0,0,30,0,15,251963,0,0,0,4096,rq1_N100.stdout.log
erdos_renyi,100,0.25,A,pointer-sharing,2,1,3,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
erdos_renyi,100,0.25,B,copy-based,51096,49391,59015,0,0,30,0,15,103,0,0,0,4096,rq1_N100.stdout.log
erdos_renyi,100,0.5,A,pointer-sharing,3,2,4,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
erdos_renyi,100,0.5,B,copy-based,49995,49924,54264,0,0,30,0,15,103,0,0,0,4096,rq1_N100.stdout.log
erdos_renyi,100,0.75,A,pointer-sharing,1,1,2,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
erdos_renyi,100,0.75,B,copy-based,51480,50589,53969,0,0,30,0,15,103,0,0,0,4096,rq1_N100.stdout.log
erdos_renyi,100,1.0,A,pointer-sharing,1,1,2,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
erdos_renyi,100,1.0,B,copy-based,52571,51014,54333,0,0,30,0,15,103,0,0,0,4096,rq1_N100.stdout.log
barabasi_albert,100,0.0,A,pointer-sharing,2,1,3,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
barabasi_albert,100,0.0,B,copy-based,51901,50890,52292,0,0,90,0,45,103,0,0,0,4096,rq1_N100.stdout.log
barabasi_albert,100,0.25,A,pointer-sharing,1,1,2,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
barabasi_albert,100,0.25,B,copy-based,51698,50138,51924,0,0,90,0,45,103,0,0,0,4096,rq1_N100.stdout.log
barabasi_albert,100,0.5,A,pointer-sharing,1,1,2,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
barabasi_albert,100,0.5,B,copy-based,51896,50962,52501,0,0,90,0,45,103,0,0,0,4096,rq1_N100.stdout.log
barabasi_albert,100,0.75,A,pointer-sharing,1,1,2,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
barabasi_albert,100,0.75,B,copy-based,51546,49906,53292,0,0,90,0,45,103,0,0,0,4096,rq1_N100.stdout.log
barabasi_albert,100,1.0,A,pointer-sharing,1,1,2,0,0,0,0,0,0,0,0,0,4196,rq1_N100.stdout.log
barabasi_albert,100,1.0,B,copy-based,53853,51099,104425,0,0,90,0,45,103,0,0,0,4096,rq1_N100.stdout.log
erdos_renyi,200,0.0,A,pointer-sharing,3,3,6,0,0,73,0,0,0,0,73,0,256622,rq1_N200.stdout.log
erdos_renyi,200,0.0,B,copy-based,102418,100141,277902498,0,0,590,0,19,252531,0,4,0,4096,rq1_N200.stdout.log
erdos_renyi,200,0.25,A,pointer-sharing,3,3,5,0,0,0,0,0,0,0,0,0,4296,rq1_N200.stdout.log
erdos_renyi,200,0.25,B,copy-based,100661,99759,105425,0,0,36,0,18,203,0,0,0,4096,rq1_N200.stdout.log
erdos_renyi,200,0.5,A,pointer-sharing,3,2,13,0,0,154,0,0,0,0,0,0,4296,rq1_N200.stdout.log
erdos_renyi,200,0.5,B,copy-based,100912,100891,103542,0,0,36,0,18,203,0,0,0,4096,rq1_N200.stdout.log
erdos_renyi,200,0.75,A,pointer-sharing,3,2,5,0,0,72,0,0,0,0,0,0,4296,rq1_N200.stdout.log
erdos_renyi,200,0.75,B,copy-based,99019,98905,105883,0,0,36,0,18,203,0,0,0,4096,rq1_N200.stdout.log
erdos_renyi,200,1.0,A,pointer-sharing,16,13,36,0,0,0,0,0,0,0,0,0,4296,rq1_N200.stdout.log
erdos_renyi,200,1.0,B,copy-based,102903,99274,114906,0,0,77,0,18,203,0,0,0,4096,rq1_N200.stdout.log
barabasi_albert,200,0.0,A,pointer-sharing,4,3,6,0,0,711,0,0,0,0,0,0,4296,rq1_N200.stdout.log
barabasi_albert,200,0.0,B,copy-based,100782,99719,102249,0,0,102,0,51,203,0,0,0,4096,rq1_N200.stdout.log
barabasi_albert,200,0.25,A,pointer-sharing,3,2,5,0,0,629,0,0,0,0,0,0,4296,rq1_N200.stdout.log
barabasi_albert,200,0.25,B,copy-based,101242,100835,101313,0,0,102,0,51,203,0,0,0,4096,rq1_N200.stdout.log
barabasi_albert,200,0.5,A,pointer-sharing,3,2,5,0,0,419,0,0,0,0,0,0,4296,rq1_N200.stdout.log
barabasi_albert,200,0.5,B,copy-based,100867,97272,101370,0,0,102,0,51,203,0,0,0,4096,rq1_N200.stdout.log
barabasi_albert,200,0.75,A,pointer-sharing,3,2,14,0,0,0,0,0,0,0,0,0,4296,rq1_N200.stdout.log
