source,accel_count,experiment,theta,label,p25,median,p75,unit,snoop_hits,snoop_misses,bias_flips,writebacks,dev_bias_hits,host_bias_hits,back_inv,dir_entries,log
multigpu_n1,1,1:Shared Counter (extreme contention),,1T Device-Bias ops/sec,151663367.0,153154367.0,153484874.0,,0,0,0,0,0,0,0,1,rq3.stdout.log
multigpu_n1,1,1:Shared Counter (extreme contention),,1T Host-Bias ops/sec,154412252.0,192110040.0,202762846.0,,0,0,0,0,0,0,0,1,rq3.stdout.log
multigpu_n1,1,1:Shared Counter (extreme contention),,2T Device-Bias ops/sec,36190939.0,52559959.0,55880937.0,,0,0,0,0,0,0,0,1,rq3.stdout.log
multigpu_n1,1,1:Shared Counter (extreme contention),,2T Host-Bias ops/sec,35068985.0,49141775.0,52476400.0,,0,0,0,0,0,0,0,1,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.0,Device-Bias ops/sec,15448016.0,15851520.0,16083955.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.0,Host-Bias ops/sec,15708905.0,16098805.0,16572015.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.0,Hybrid ops/sec,14797277.0,15777277.0,16051281.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.25,Device-Bias ops/sec,14624238.0,15388595.0,15597222.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.25,Host-Bias ops/sec,14041926.0,15056485.0,15731759.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.25,Hybrid ops/sec,14510132.0,15575838.0,15594099.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.5,Device-Bias ops/sec,13754420.0,15873650.0,16495634.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.5,Host-Bias ops/sec,15395785.0,16223921.0,16660782.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.5,Hybrid ops/sec,14834290.0,15292046.0,15792791.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
multigpu_n1,1,2:KV Store with Zipfian Distribution,0.75,Device-Bias ops/sec,15487979.0,15637634.0,15974402.0,,0,0,0,0,0,0,0,10001,rq3.stdout.log
