cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
128M,134217728,erdos_renyi,100000,0.0,A,pointer-sharing,6683,6131,8684,14963339.817447254,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N100000.stdout.log
128M,134217728,erdos_renyi,100000,0.5,A,pointer-sharing,5684,5486,6310,17593244.194229417,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N100000.stdout.log
128M,134217728,erdos_renyi,100000,1.0,A,pointer-sharing,5864,5807,5870,17053206.002728514,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N100000.stdout.log
128M,134217728,barabasi_albert,100000,0.0,A,pointer-sharing,5174,4956,5584,19327406.26207963,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N100000.stdout.log
128M,134217728,barabasi_albert,100000,0.5,A,pointer-sharing,5477,5395,5808,18258170.531312764,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N100000.stdout.log
128M,134217728,barabasi_albert,100000,1.0,A,pointer-sharing,5523,5495,5622,18106101.75629187,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N100000.stdout.log
128M,134217728,erdos_renyi,50000,0.0,A,pointer-sharing,3313,3202,3558,15092061.575611228,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N50000.stdout.log
128M,134217728,erdos_renyi,50000,0.5,A,pointer-sharing,3236,3228,3506,15451174.289245984,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N50000.stdout.log
128M,134217728,erdos_renyi,50000,1.0,A,pointer-sharing,3218,3196,3434,15537600.994406464,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N50000.stdout.log
128M,134217728,barabasi_albert,50000,0.0,A,pointer-sharing,2907,2541,3013,17199862.401100792,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/128M/runs/rq1_N50000.stdout.log
