cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
128M,134217728,erdos_renyi,2000,0.0,A,pointer-sharing,43,42,54,46511627.906976745,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,0.0,B,copy-based,972062,959171,987382,2057.481930164948,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,0.25,A,pointer-sharing,44,42,59,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,0.25,B,copy-based,948596,944831,969135,2108.379120299896,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,0.5,A,pointer-sharing,43,41,67,46511627.906976745,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,0.5,B,copy-based,944467,944306,1003420,2117.5964856368723,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,0.75,A,pointer-sharing,44,43,49,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,0.75,B,copy-based,945612,945373,947229,2115.032381145755,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,1.0,A,pointer-sharing,44,41,51,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,erdos_renyi,2000,1.0,B,copy-based,945068,944981,947148,2116.2498359906376,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
128M,134217728,barabasi_albert,2000,0.0,A,pointer-sharing,49,47,57,40816326.530612245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/128M/runs/rq1_N2000.stdout.log
