gpu_count,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
1,erdos_renyi,2000,0.0,A,pointer-sharing,56,53,67,35714285.71428572,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,0.0,B,copy-based,951660,949486,951771,2101.590904314566,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,0.25,A,pointer-sharing,44,42,56,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,0.25,B,copy-based,982038,968711,985166,2036.5810691643296,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,0.5,A,pointer-sharing,44,43,58,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,0.5,B,copy-based,953719,949226,977167,2097.053744341887,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,0.75,A,pointer-sharing,44,42,49,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,0.75,B,copy-based,954001,953363,954055,2096.433861180439,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,1.0,A,pointer-sharing,51,44,52,39215686.2745098,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,erdos_renyi,2000,1.0,B,copy-based,960975,951193,1046494,2081.219594682484,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,0.0,A,pointer-sharing,45,44,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,0.0,B,copy-based,960518,945324,987612,2082.2098076246357,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,0.25,A,pointer-sharing,45,44,52,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,0.25,B,copy-based,945389,945152,959288,2115.531278658838,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,0.5,A,pointer-sharing,45,44,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,0.5,B,copy-based,946451,945628,983806,2113.157469324878,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,0.75,A,pointer-sharing,48,45,49,41666666.666666664,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,0.75,B,copy-based,962365,944296,963694,2078.213567617276,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,1.0,A,pointer-sharing,45,43,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
1,barabasi_albert,2000,1.0,B,copy-based,944953,943745,946128,2116.507381848621,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n1/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,0.0,A,pointer-sharing,92,88,107,21739130.43478261,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,0.0,B,copy-based,1028724,978804,1058686,1944.1560612953524,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,0.25,A,pointer-sharing,46,42,64,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,0.25,B,copy-based,1043628,1022426,1088850,1916.3916644628162,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,0.5,A,pointer-sharing,44,41,61,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,0.5,B,copy-based,1113306,1074602,1117394,1796.451290121494,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,0.75,A,pointer-sharing,49,48,57,40816326.530612245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,0.75,B,copy-based,1052622,1043100,1099153,1900.0172901573405,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,1.0,A,pointer-sharing,51,44,58,39215686.2745098,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,erdos_renyi,2000,1.0,B,copy-based,984092,980238,994861,2032.330310580718,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,0.0,A,pointer-sharing,45,44,52,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,0.0,B,copy-based,983159,976892,995311,2034.2589550622026,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,0.25,A,pointer-sharing,50,44,55,40000000.0,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,0.25,B,copy-based,1004877,969874,1012784,1990.293339383825,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,0.5,A,pointer-sharing,45,44,52,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,0.5,B,copy-based,973140,972713,1010729,2055.2027457508684,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,0.75,A,pointer-sharing,45,44,49,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,0.75,B,copy-based,975561,975067,976582,2050.102453870132,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,1.0,A,pointer-sharing,45,44,57,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
2,barabasi_albert,2000,1.0,B,copy-based,976357,974861,979248,2048.4310554438593,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n2/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,0.0,A,pointer-sharing,45,45,54,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,0.0,B,copy-based,967396,956615,976653,2067.4056952892092,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,0.25,A,pointer-sharing,54,42,68,37037037.03703704,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,0.25,B,copy-based,983144,978510,983340,2034.2899921069547,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,0.5,A,pointer-sharing,44,43,57,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,0.5,B,copy-based,983740,967197,1008248,2033.057515197105,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,0.75,A,pointer-sharing,44,41,49,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,0.75,B,copy-based,975809,970781,1068580,2049.581424233636,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,1.0,A,pointer-sharing,44,43,53,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,erdos_renyi,2000,1.0,B,copy-based,984886,982587,1006677,2030.6918770294226,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,0.0,A,pointer-sharing,45,43,53,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,0.0,B,copy-based,1002669,974533,1037282,1994.6762091976514,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,0.25,A,pointer-sharing,49,45,52,40816326.530612245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,0.25,B,copy-based,980890,967418,1013515,2038.964613769128,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,0.5,A,pointer-sharing,45,43,57,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,0.5,B,copy-based,1015861,984031,1042326,1968.773286896534,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,0.75,A,pointer-sharing,46,43,50,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,0.75,B,copy-based,994360,991534,1017726,2011.3439800474678,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,1.0,A,pointer-sharing,46,43,52,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
3,barabasi_albert,2000,1.0,B,copy-based,994844,978568,1000478,2010.365444230452,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n3/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.0,A,pointer-sharing,58,54,68,34482758.62068965,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.0,B,copy-based,943667,942642,961098,2119.3916921965056,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.25,A,pointer-sharing,54,42,57,37037037.03703704,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.25,B,copy-based,945978,945270,983372,2114.21407263171,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.5,A,pointer-sharing,57,44,58,35087719.298245616,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.5,B,copy-based,942378,940904,954441,2122.2906307235526,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,erdos_renyi,2000,0.75,A,pointer-sharing,49,42,49,40816326.530612245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
