graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
erdos_renyi,10000,0.0,A,pointer-sharing,304,289,437,32894736.842105262,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,0.0,B,copy-based,5599680,5261207,5840581,1785.8163323618492,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,0.25,A,pointer-sharing,232,231,346,43103448.27586207,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,0.25,B,copy-based,5005676,4893512,5390438,1997.7321744355806,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,0.5,A,pointer-sharing,254,242,309,39370078.74015748,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,0.5,B,copy-based,4933810,4917170,4963971,2026.8311913105692,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,0.75,A,pointer-sharing,245,235,365,40816326.530612245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,0.75,B,copy-based,4927122,4924125,5089622,2029.582380951801,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,1.0,A,pointer-sharing,258,233,327,38759689.92248062,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,10000,1.0,B,copy-based,4873562,4852922,4904101,2051.8873054246565,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,0.0,A,pointer-sharing,239,231,346,41841004.18410042,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,0.0,B,copy-based,4905389,4887642,4910542,2038.574310824279,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,0.25,A,pointer-sharing,245,235,389,40816326.530612245,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,0.25,B,copy-based,5119156,4936948,5414776,1953.4470135311367,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,0.5,A,pointer-sharing,243,234,378,41152263.3744856,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,0.5,B,copy-based,4916152,4890898,5036022,2034.111231711306,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,0.75,A,pointer-sharing,236,231,429,42372881.355932206,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,0.75,B,copy-based,4904710,4849354,4936151,2038.856527705002,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,1.0,A,pointer-sharing,248,234,397,40322580.64516129,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
barabasi_albert,10000,1.0,B,copy-based,5000785,4880688,5567059,1999.6860492902615,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N10000.stdout.log
erdos_renyi,100000,1.0,A,pointer-sharing,7538,6695,9507,13266118.333775537,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N100000.stdout.log
erdos_renyi,100000,1.0,B,copy-based,47672859,47635088,47984253,2097.6295967481205,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N100000.stdout.log
barabasi_albert,100000,1.0,A,pointer-sharing,5199,5191,7329,19234468.166955184,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N100000.stdout.log
barabasi_albert,100000,1.0,B,copy-based,47579517,47470728,47637630,2101.7447486909127,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N100000.stdout.log
erdos_renyi,20000,0.0,A,pointer-sharing,584,468,792,34246575.34246575,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,0.0,B,copy-based,10086925,10059978,10292033,1982.7648168297078,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,0.25,A,pointer-sharing,500,493,874,40000000.0,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,0.25,B,copy-based,10095116,10069813,10137481,1981.156036245646,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,0.5,A,pointer-sharing,502,496,889,39840637.4501992,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,0.5,B,copy-based,9810079,9695625,10571497,2038.7195658669007,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,0.75,A,pointer-sharing,507,478,884,39447731.75542406,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,0.75,B,copy-based,9954284,9803821,11066280,2009.1851910192636,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,1.0,A,pointer-sharing,523,501,2478,38240917.78202677,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
erdos_renyi,20000,1.0,B,copy-based,10060638,10033377,10099468,1987.9454961007443,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
barabasi_albert,20000,0.0,A,pointer-sharing,529,478,819,37807183.36483932,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
barabasi_albert,20000,0.0,B,copy-based,10044793,9760215,10210914,1991.0813493120265,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
barabasi_albert,20000,0.25,A,pointer-sharing,526,492,863,38022813.68821293,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
barabasi_albert,20000,0.25,B,copy-based,9829042,9820980,9914700,2034.7862996210617,/home/victoryang00/CXLMemSim/artifact/splash_sweep/large_bfs/runs_systemd/rq1_N20000.stdout.log
