size,time
1,118754503
2,60234921
4,31293002
8,16276794
16,8026996
32,6030550
64,4265269
128,2962365
256,2587784
1,127152228
2,61160665
4,33031151
8,15340438
16,9113830
32,6215485
64,3487122
128,2962027
256,2587776
1,126552370
2,62158568
4,29907431
8,17975541
16,8959612
32,6415607
64,3927586
128,2654728
256,3517717
1,120832992
2,61547116
4,30362292
8,15567320
16,8299665
32,5517857
64,3138768
128,2654352
256,2905094
1,125315592
2,73911097
4,32098431
8,16466950
16,8819365
32,5998599
64,3154556
128,2652320
256,2894620
1,122233989
2,65343484
4,30469439
8,15842264
16,8280343
32,5505189
64,3605646
128,3370354
256,2896952
1,127852299
2,62819826
4,32852798
8,16871714
16,8032198
32,5643179
64,3165724
128,3160129
256,3007319
1,125141000
2,60735928
4,30855328
8,14878952
16,8912845
32,5204050
64,3291845
128,2648898
256,2589652
1,126329179
2,61204054
4,30867055
8,15884587
16,8276860
32,5540184
64,3166086
128,2831204
256,2957111
1,125683031
2,61147212
4,34543830
8,17357544
16,8559140
32,5613405
64,3414512
128,3034356
256,2673807
1,125006739
2,66612331
4,33071016
8,15249949
16,8540424
32,5208042
64,3730034
128,2813851
256,3515298
1,137718824
2,64252344
4,31277792
8,15591060
16,8851385
32,5328893
64,3407843
128,2962357
256,2966762
1,122948694
2,60257839
4,30679082
8,19812850
16,8266064
32,5080767
64,3154837
128,2746950
256,2587826
1,121939228
2,61239974
4,35543981
8,20085071
16,8065533
32,6588809
64,3545098
128,2777690
256,2590386
1,123043037
2,61680814
4,29838969
8,15558009
16,8974354
32,5090155
64,3465381
128,2674698
256,3045736
size,time
size,time
1,121746312
2,61107925
4,30149408
8,15099279
16,8706744
32,5291755
64,3730037
128,3280963
256,2587966
1,123057393
2,61704803
4,31973748
8,16598129
16,8775390
32,5063053
64,3495344
128,3071881
256,2590016
1,130424876
2,61318608
4,33435294
8,16129356
16,8048944
32,5087704
64,3311468
128,2974944
256,2587784
1,123922363
2,64637687
4,31605620
8,15826330
16,8495805
32,5675576
64,3156287
128,2785315
256,2726114
1,123650144
2,61160676
4,30154950
8,18071085
16,8297352
32,5105420
64,3159657
128,3600319
256,2745720
