mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709544426,18446744073709545519,18446744073709549506,0,18446744073709551025,18446744073709551612,0,0
155808,36394,45173,0,5974,181,0,0
155808,36394,45173,0,5974,181,0,0
711008,283603,266176,0,37706,2543,0,0
711008,283603,266176,0,37706,2543,0,0
1109245,421300,387305,0,53812,2662,0,0
1109245,421300,387305,0,53812,2662,0,0
1480489,587608,528345,0,66172,4460,0,0
1480489,587608,528345,0,66172,4460,0,0
1869331,737521,722817,0,92629,4692,0,0
1869331,737521,722817,0,92629,4692,0,0
3304125,1505260,1327714,0,177186,28665,0,0
3304125,1505260,1327714,0,177186,28665,0,0
4358964,1830738,1845088,0,230685,29429,0,0
4358964,1830738,1845088,0,230685,29429,0,0
6161956,2065760,2520984,0,272017,31419,0,0
6161956,2065760,2520984,0,272017,31419,0,0
8160981,2294410,3085723,0,310188,33923,0,0
8160981,2294410,3085723,0,310188,33923,0,0
9693973,2465468,3180735,0,340727,35133,0,0
9693973,2465468,3180735,0,340727,35133,0,0
11337079,2564205,3227458,0,354571,36109,0,0
11337079,2564205,3227458,0,354571,36109,0,0
12422202,2860769,3469123,0,394710,40227,0,0
12422202,2860769,3469123,0,394710,40227,0,0
13189535,3210895,3767171,0,437907,72380,0,0
13189535,3210895,3767171,0,437907,72380,0,0
13738311,3475640,3966059,0,486549,73256,0,0
13738311,3475640,3966059,0,486549,73256,0,0
14024364,3647432,4086754,0,513901,73616,0,0
14024364,3647432,4086754,0,513901,73616,0,0
14314276,3822750,4196184,0,542925,73773,0,0
14314276,3822750,4196184,0,542925,73773,0,0
14588602,3985232,4295185,0,567193,73830,0,0
14588602,3985232,4295185,0,567193,73830,0,0
14875309,4129016,4396936,0,586967,73869,0,0
14875309,4129016,4396936,0,586967,73869,0,0
