size,time
1,1019773372
2,501580754
4,251960578
8,128664537
16,64981803
32,34178573
64,16851152
128,8420326
256,4951254
1,990273146
2,496907890
4,251742289
8,127089537
16,65011965
32,34012014
64,16996652
128,8695844
256,4982001
1,1073193442
2,516948451
4,256914833
8,128695533
16,67469705
32,35501569
64,17214117
128,9013391
256,4999634
1,1056206938
2,517309751
4,251802659
8,126882788
16,65203115
32,33885706
64,16699796
128,8633867
256,4837429
1,990193475
2,516265592
4,251190593
8,126852211
16,64300723
32,34049550
64,17640111
128,8434102
256,4826851
1,991550956
2,500502677
4,251818222
8,127395433
16,65382205
32,33601424
64,16630872
128,8569893
256,5008758
1,999540521
2,499126538
4,254696313
8,128085197
16,66273226
32,33806785
64,17247795
128,8554336
256,4957876
1,999419955
2,500809176
4,252648840
8,126958460
16,64435577
32,34767601
64,17525639
128,8691700
256,4959439
1,1000910539
2,499865814
4,255809298
8,128957903
16,67262768
32,33813178
64,17472464
128,8951193
256,4762949
1,1004669632
2,518566670
4,256080219
8,127992779
16,66449096
32,34215057
64,17300012
128,8518106
256,5001047
