size,time
1,1016509798
2,571374538
4,327800930
8,173490510
size,time
1,988193004
2,583736257
4,312610853
size,time
1,1001899519
2,600327417
4,318070734
8,203096596
16,144226575
32,99610399
64,79485568
128,67394742
256,60849650
1,1016821037
2,597605704
4,319942774
8,201987850
16,144946612
32,98478493
64,81929735
128,65687715
256,62186539
1,1026884280
2,599019411
4,319355892
8,200598567
16,144711312
32,98139898
64,78891975
128,66993606
256,60862852
1,1025760309
2,597029866
4,321679332
8,201208267
16,144361007
32,100228926
64,78924386
128,66499729
256,60839860
1,999661992
2,597708850
4,324522639
8,201432314
16,143844988
32,99345176
64,80320167
128,66838756
256,61153091
1,998624123
2,601470869
4,327463718
8,201986278
16,145994709
32,98462530
64,78886890
128,68054838
256,61703850
1,1002055158
2,602013686
4,321708502
8,200394190
16,143455837
32,98726277
64,79289992
128,67377784
256,61819821
1,1003105367
2,596590609
4,318814743
8,205702982
16,142878858
32,100538363
64,79399476
128,67522846
256,61487526
1,1019741415
2,599032452
4,325848809
8,202791574
16,144083436
32,99428997
64,79602360
128,66419784
256,60953641
1,997689957
2,598806953
4,319109606
8,200988130
16,145128301
32,101611241
64,79420608
128,66126802
256,61799297
size,time
1,996067348
2,579192554
4,314766610
8,177854555
16,141107907
32,98280784
64,78819330
128,66875975
256,60870051
1,992997338
2,568188332
4,313105913
8,173035578
16,141456875
32,96443964
64,79942440
128,67002538
256,61759676
1,999549185
2,574389504
4,311479346
8,177869299
16,142939076
32,97121137
64,79897756
128,65932169
256,60510160
1,1004757797
2,574784639
4,311719886
8,175381223
16,139923881
32,99731274
64,79634623
128,66404852
256,61345839
1,995640635
2,586916315
4,311883818
8,179277414
16,142197541
32,97648919
64,82219315
128,68247585
256,60953759
1,999131679
2,578993098
4,314900927
8,174241996
16,141406318
32,97778151
64,78952307
128,66811476
256,61419767
1,995932652
2,571412069
4,316683913
8,178417246
16,143708431
32,98487007
64,80503388
128,66102527
256,60294721
1,988664006
2,576976683
4,312898286
8,173217332
16,143269027
32,97801343
64,79862689
128,66584985
256,61384939
1,1004042014
2,570880443
4,306873133
8,171050372
16,141431278
32,96814129
64,80079241
128,66576752
256,61902002
1,1016698026
2,579159273
4,322465502
8,179878199
16,139814330
32,97398621
64,81231638
128,67291395
256,61603995
1,992035174
2,577777546
4,309240285
8,173615240
16,140063145
32,98148232
64,80186217
128,65769137
256,61458758
1,1009680458
2,579889538
4,313192826
8,171572949
16,146345405
32,97631350
64,78886529
128,66817996
256,61327952
1,1013744854
2,576204667
4,321567902
8,171584968
16,141421809
32,97563466
64,82052467
128,65898883
256,61802558
1,995559203
2,570196038
4,313601668
8,175908414
16,142479183
32,97863193
64,79351812
128,66644786
256,60515991
1,999227357
2,575944731
4,309839738
8,168457401
16,141164691
32,96726569
64,78278531
128,66195024
256,61613324
1,1006647089
2,566258557
4,309647378
8,170549682
16,141001421
32,98282691
64,79726171
128,67297629
256,60585322
1,1002128900
2,572793309
4,313557443
8,179538004
16,143331768
32,99167972
64,81210648
128,66320352
256,63806094
1,999901141
2,580801211
4,322272614
8,178139281
16,140164238
32,98934029
64,81278234
128,67216943
256,61928605
1,999780057
2,572525153
4,324532389
8,169110934
16,143833375
32,98122959
64,82026410
128,68142792
256,62810623
1,1004221662
2,585175093
4,322099758
8,180292610
16,140375050
32,98426333
64,80475585
128,68197287
256,61335697
1,996206627
2,585218536
4,314084138
8,177985755
16,141817522
32,99572056
64,78854877
128,66775788
256,61905966
1,990114452
2,592814885
4,313777744
8,175310754
16,141616181
32,97716334
64,79476432
128,66711360
256,61412875
1,1007046990
2,585597782
4,331126773
8,172894800
16,141994612
32,98270368
64,80285383
128,66763535
256,62329759
1,1004152699
2,586732712
4,333498548
8,172695258
16,142873964
32,98408824
64,80513244
128,66449024
256,60523032
1,1018794605
2,591451619
4,331407251
8,178188000
16,143949872
32,100377254
64,80278346
128,65803451
256,61795603
