size,time
1,225022699
2,312494611
4,183413724
8,167134399
16,99792757
32,87961449
64,72808576
128,63676088
256,58294967
1,212668269
2,310464693
4,186414339
8,165694063
16,98429776
32,88535804
64,74071240
128,62412176
256,58633268
1,211235693
2,304775422
4,184306378
8,167813868
16,101392676
32,87637480
64,73213304
128,64065473
256,58482447
1,210335235
2,288856589
4,184209418
8,165211628
16,100378757
32,88640362
64,72741997
128,62809557
256,58171663
1,208729971
2,285264750
4,188360737
8,164059743
16,100519967
32,87836299
64,74426701
128,62667979
256,58709332
1,211303049
2,302982763
4,182331577
8,164665677
16,100277640
32,88327479
64,73164779
128,62748647
256,58959420
1,202018904
2,289301625
4,183331746
8,162767885
16,102488061
32,87937508
64,73511517
128,62704780
256,58208614
1,205132105
2,296153267
4,181829254
8,164688994
16,100553864
32,87686583
64,73040146
128,64432196
256,59587681
1,206885941
2,302254101
4,186805678
8,164094418
16,102392059
32,88135501
64,72452857
128,63943716
256,57669138
1,207473892
2,309406478
4,186422946
8,166681481
16,100575511
32,90899290
64,74222872
128,64979015
256,59773685
