size,time
1,1616591402
2,781641881
4,395259234
8,200275154
16,103425653
32,54284577
64,27440213
128,13351798
256,7402093
1,1583163643
2,780681694
4,395353586
8,198685609
16,104641033
32,53016410
64,27840458
128,13348910
256,7455651
1,1603343708
2,782705006
4,392654818
8,202684662
16,102307370
32,53562866
64,27851404
128,13667974
256,7436549
1,1584850547
2,777108547
4,396074014
8,199764369
16,105932353
32,54370679
64,27745593
128,13375686
256,7591030
1,1586631759
2,776230018
4,393745080
8,197968908
16,102965374
32,53171483
64,27563814
128,13649152
256,7482749
1,1597203106
2,784752866
4,392984596
8,198687095
16,102318185
32,53803185
64,27118562
128,13845297
256,7469652
1,1572738809
2,779672971
4,394541023
8,198700648
16,102583895
32,53848490
64,27619421
128,13455507
256,7498039
1,1581566934
2,779402248
4,398682379
8,198250939
16,104065809
32,53248422
64,27146745
128,13490113
256,7626427
1,1608667012
2,796756604
4,394090713
8,199434143
16,103688310
32,55252657
64,27939035
128,13458629
256,7751644
1,1587278172
2,794845509
4,393681935
8,202833805
16,102376000
32,54307146
64,27045462
128,13850770
256,7543649
size,time
1,1591457045
2,902038313
4,493509597
8,254491301
16,219844225
32,144645414
64,118446522
128,96301319
256,92057277
1,1591410660
2,901957308
4,482272294
8,254544197
16,212062208
32,142305405
64,115028503
128,98191095
256,88729350
1,1564742272
2,901839567
4,482446904
8,253751834
16,208599070
32,140210106
64,115224808
128,95758970
256,88476122
1,1571255362
2,898806270
4,482285187
8,253810788
16,207989461
32,144738523
64,114798365
128,96423406
256,88130734
1,1570624864
2,899864332
4,484264068
8,253812775
16,208666201
32,140686898
64,114630060
128,98239006
256,90746274
1,1571619275
2,897348965
4,484633638
8,253788097
16,212328481
32,141936319
64,114904690
128,95742447
256,88415957
1,1564701564
2,912668655
4,483110399
8,254600700
16,205722988
32,142077476
64,116865216
128,96394342
256,88343501
1,1564592014
2,902566674
4,484737509
8,253837345
16,208036710
32,143978146
64,114804536
128,96332964
256,87877740
1,1571659390
2,942870187
4,502422110
8,251974209
16,207149925
32,139744574
64,114880922
128,95580160
256,88203824
1,1578807055
2,944653494
4,501729885
8,252895893
16,204788422
32,140993424
64,114486901
128,96061044
256,87806004
1,1571531786
2,949163584
4,502554072
8,252134737
16,207511693
32,141040113
64,115420144
128,96060663
256,88208484
1,1578380059
2,942935686
4,502461039
8,251992321
16,207386055
32,139460012
64,115165040
128,95467430
256,88307738
1,1571454259
2,951461452
4,501302619
8,252934013
16,207501348
32,139604448
64,116264777
128,95937613
256,87828925
1,1599675850
2,942976482
4,502491021
8,255361165
16,207455980
32,139451563
64,115170881
128,95464366
256,88098313
1,1576711409
2,952222584
4,502631813
8,252058688
16,207139009
32,143814358
64,115119097
128,95621242
256,88990762
1,1578971542
2,943214122
4,502678192
8,251907617
16,207464402
32,139724100
64,115160135
128,95891105
256,88048119
1,1571630415
2,953973038
4,502632481
8,253086869
16,207976351
32,140877773
64,114738755
128,95436770
256,88000621
1,1583272978
2,952349403
4,501510629
8,252869724
16,204886197
32,139669777
64,115058109
128,95724235
256,88399473
1,1570677037
2,952161592
4,501297430
8,253076454
16,204724382
32,141139783
64,114652914
128,95988917
256,87725532
1,1578123515
2,943404700
4,506411066
8,252962826
16,207519058
32,140034178
64,115349440
128,95993190
256,88269691
1,1574876758
2,951643751
4,501564410
8,252865300
16,205066762
32,141112505
64,114713053
128,95642505
256,88117175
1,1578111875
2,942639307
4,502388363
8,252167702
16,204657171
32,141153739
64,114776003
128,95860865
256,88031907
1,1578231139
2,947527317
4,502410251
8,253912000
16,207411781
32,141120421
64,114603717
128,95886952
256,88120376
1,1582853228
2,943853388
4,502362359
8,252195643
16,207292089
32,141064476
64,115642002
128,96634195
256,88065878
1,1570767573
2,952252312
4,501384450
8,253031022
16,204882253
32,141748978
64,115249848
128,96069167
256,88086994
size,time
1,1610237251
2,848804381
4,488342765
8,247250469
16,208503257
32,144581784
64,119100367
128,97499646
256,91631754
1,242235073
2,786925748
4,471923606
8,244954102
16,207816107
32,141320162
64,117345721
128,98297285
256,91308035
1,1582991100
2,782205408
4,487803284
8,245405164
16,218649986
32,147559576
64,119171400
128,100152698
256,91632388
1,1624751479
2,891081048
4,475903541
8,247694497
16,218528336
32,147787505
64,115711447
128,99789700
256,91991133
1,1623557609
2,848463515
4,471437960
8,244031673
16,209591744
32,145971142
64,119580179
128,99245835
256,89820807
1,1624271948
2,850247614
4,486659719
8,245208632
16,218115622
32,144074464
64,118375352
128,99075879
256,89682107
1,1629561456
2,848376130
4,471572756
8,246440198
16,208603625
32,149058880
64,119450866
128,97453797
256,90911667
1,1589874661
2,891356379
4,471646120
8,244758202
16,209654410
32,141396031
64,117608449
128,98775658
256,89738200
1,1601054092
2,873133403
4,474367422
8,248834307
16,214439187
32,148386986
64,118206271
128,98256545
256,90126130
1,1593604486
2,869606873
4,479557841
8,249879718
16,210588932
32,141307763
64,116069919
128,97010676
256,89464585
1,1594408848
2,865259796
4,472214535
8,250535970
16,211916963
32,142277853
64,117577890
128,99624435
256,90162115
1,1598335980
2,854479345
4,469550818
8,246658600
16,209774252
32,144044523
64,119955300
128,99103525
256,89876162
1,1606921048
2,881132577
4,485485913
8,252827288
