size,time
1,6066769222
2,6209612941
4,6170810951
8,6158873194
16,6178758487
32,6281721379
64,6600357443
128,6382244752
256,6193315159
1,6064998958
2,6205177445
4,6165622435
8,6159312089
16,6179370494
32,6284491159
64,6599444552
128,6376184112
256,6193433563
1,6064918630
2,6204523099
4,6167903656
8,6154882431
16,6178129930
32,6279735447
64,6605030962
128,6380032870
256,6188057398
1,6069382131
2,6208143906
4,6160974760
8,6160724436
16,6179322996
32,6278920961
64,6600469685
128,6380101261
256,6188543224
1,6069266547
2,6213387506
4,6176164660
8,6155011671
16,6177890995
32,6279020540
64,6597161807
128,6383654953
256,6192456713
1,6066933855
2,6203267677
4,6178918574
8,6158025027
16,6179155501
32,6278616833
64,6597311349
128,6380760902
256,6189409929
1,6065971287
2,6204522570
4,6172143838
8,6158397310
16,6176266162
32,6282631612
64,6592530327
128,6377231784
256,6192775382
1,6066808208
2,6207741199
4,6172257826
8,6164250182
16,6178609996
32,6281921277
64,6595764822
128,6378681669
256,6188033595
1,6073772464
2,6201009996
4,6172806861
8,6156278568
16,6175685463
32,6278746626
64,6604142856
128,6378868433
256,6186778637
1,6071579817
2,6203928392
4,6164938913
8,6159772068
16,6177286099
32,6276189995
64,6601500587
128,6382616543
256,6187806541
1,6079781574
2,6206200136
4,6166687114
8,6151819739
16,6180973327
32,6281863069
64,6595015026
128,6385122143
256,6184769547
1,6065454948
2,6209873390
4,6170458758
8,6154536967
16,6180304066
32,6277240323
64,6596746884
128,6381998527
256,6188416303
1,6065154811
2,6202107981
4,6172756802
8,6153640957
16,6178811279
32,6282517377
64,6596135647
128,6380416177
256,6193392180
1,6068431571
2,6205568551
4,6180119898
8,6154173350
16,6179030874
32,6282147379
64,6597662618
128,6375772724
256,6186587107
1,6070856363
2,6201363320
4,6170362186
8,6161346951
16,6178902100
32,6279271234
64,6605957710
128,6381999912
256,6188291954
1,6071683143
2,6203858991
4,6172345354
8,6156783434
16,6180236936
32,6280890037
64,6594826749
128,6382787703
256,6190638631
1,6069143602
2,6210821281
4,6166102167
8,6160426235
16,6178540730
32,6279736702
64,6600779866
128,6384279876
256,6186414670
1,6066906000
2,6206927860
4,6167457092
8,6156590344
16,6175725219
32,6282978485
64,6596915981
128,6379070430
256,6187593048
1,6068413249
2,6204216285
4,6174973081
8,6156895316
16,6174343944
32,6281332086
64,6596219629
128,6378795075
256,6192308218
1,6067253998
2,6204775905
4,6165437100
8,6162645535
16,6176818740
32,6278297013
64,6605137352
128,6380029055
256,6186699792
1,6069948009
2,6208627164
4,6171160120
8,6159301674
16,6177101845
32,6277350641
64,6594431896
128,6379482962
256,6187680949
1,6065342113
2,6213541779
4,6167032668
8,6153496155
16,6179125372
32,6279317423
64,6596280356
128,6384563569
256,6191250720
1,6067254015
2,6206150752
4,6167786269
8,6155758274
16,6179797704
32,6280531542
64,6594734571
128,6381741437
256,6191247579
1,6065963835
2,6207004571
4,6167471802
8,6156657806
16,6175020999
32,6285540903
64,6597893206
128,6380597751
256,6193686761
1,6066322680
2,6206806555
4,6168557366
8,6158843963
16,6179410176
32,6278406924
64,6599900394
128,6382514043
256,6188312434
