size,time
1,293147946
2,414697515
4,267886546
8,320077383
16,176765567
32,125137784
64,105429544
128,92255893
256,85066268
1,284221895
2,483312050
4,276862534
8,247781377
16,142438675
32,126039543
64,105191798
128,93417942
256,86134920
1,283649818
2,478794231
4,270487791
8,250610639
16,141285605
32,127797164
64,105915444
128,92462500
256,85361057
1,284970187
2,456008134
4,263831986
8,243947516
16,142765730
32,128331023
64,106426307
128,92661965
256,87043176
1,286076970
2,502317936
4,270881559
8,244584734
16,147069104
32,126768423
64,104999432
128,92249722
256,87274927
1,289823311
2,518496351
4,269451074
8,246544588
16,144920978
32,127266547
64,107686412
128,92740761
256,86199208
1,286428343
2,463482388
4,267832680
8,252821490
16,148811863
32,126314400
64,108879227
128,92887330
256,86347359
1,282015527
2,483720244
4,263325409
8,243926377
16,145182336
32,125431745
64,107590230
128,92957198
256,86469905
1,287286452
2,525221070
4,272690320
8,252587910
16,141891713
32,131666906
64,108230241
128,92444708
256,86592565
1,288771458
2,512307733
4,274993358
8,248735300
16,147734226
32,128533493
64,108510662
128,93830575
256,87466388
