mon0_tatal_stall_0_0,mon0_all_dram_rds_0_0,mon0_l2stall_0_0,mon0_snoop_fw_wb_0_0,mon0_llcl_hits_0_0,mon0_llcl_miss_0_0,mon0_null_0_0,mon0_null_0_0
18446744073709550261,18446744073709551272,18446744073709551492,0,18446744073709551478,0,0,0
147046,102095,56931,0,15166,15758,0,0
147046,102095,56931,0,15166,15758,0,0
259567,140894,79742,0,28022,17971,0,0
259567,140894,79742,0,28022,17971,0,0
431703,202595,158982,0,42450,18571,0,0
431703,202595,158982,0,42450,18571,0,0
604911,290573,209698,0,57986,20731,0,0
604911,290573,209698,0,57986,20731,0,0
1237730,510812,642937,0,94021,21774,0,0
1237730,510812,642937,0,94021,21774,0,0
1631068,685960,768132,0,121726,22278,0,0
1631068,685960,768132,0,121726,22278,0,0
2123761,974614,893429,0,159798,25194,0,0
2123761,974614,893429,0,159798,25194,0,0
2627851,1190042,1040970,0,190243,31162,0,0
2627851,1190042,1040970,0,190243,31162,0,0
3161276,1384993,1162365,0,222790,32217,0,0
3161276,1384993,1162365,0,222790,32217,0,0
3555628,1505659,1237105,0,246128,32366,0,0
3555628,1505659,1237105,0,246128,32366,0,0
4067954,1543625,1291562,0,260243,32759,0,0
4067954,1543625,1291562,0,260243,32759,0,0
4195528,1562481,1335734,0,272432,34055,0,0
4195528,1562481,1335734,0,272432,34055,0,0
4321368,1581027,1382067,0,282883,34368,0,0
4321368,1581027,1382067,0,282883,34368,0,0
4445470,1618745,1436783,0,292892,35167,0,0
4445470,1618745,1436783,0,292892,35167,0,0
4563083,1638695,1458023,0,305391,35173,0,0
4563083,1638695,1458023,0,305391,35173,0,0
5043366,1711253,1997398,0,323451,37005,0,0
5043366,1711253,1997398,0,323451,37005,0,0
5213366,1739438,2132971,0,331138,37562,0,0
5213366,1739438,2132971,0,331138,37562,0,0
5349725,1785565,2185316,0,342743,39208,0,0
5349725,1785565,2185316,0,342743,39208,0,0
5543390,1811578,2306531,0,353923,39471,0,0
5543390,1811578,2306531,0,353923,39471,0,0
5652096,1871592,2361078,0,367129,41012,0,0
5652096,1871592,2361078,0,367129,41012,0,0
5761372,1894514,2406507,0,377537,41784,0,0
5761372,1894514,2406507,0,377537,41784,0,0
6243614,1912694,2950157,0,387018,42079,0,0
6243614,1912694,2950157,0,387018,42079,0,0
6456235,2013788,3021544,0,402918,49368,0,0
6456235,2013788,3021544,0,402918,49368,0,0
6582799,2053288,3083723,0,417537,50343,0,0
6582799,2053288,3083723,0,417537,50343,0,0
6746886,2131499,3138763,0,434924,51455,0,0
6746886,2131499,3138763,0,434924,51455,0,0
6894908,2189628,3190268,0,451975,51750,0,0
6894908,2189628,3190268,0,451975,51750,0,0
7003493,2207700,3234418,0,461218,51877,0,0
7003493,2207700,3234418,0,461218,51877,0,0
7075616,2228420,3249685,0,466054,53150,0,0
7075616,2228420,3249685,0,466054,53150,0,0
7301127,2263248,3319806,0,478032,53815,0,0
7301127,2263248,3319806,0,478032,53815,0,0
7407539,2297335,3371089,0,487438,54506,0,0
7407539,2297335,3371089,0,487438,54506,0,0
7551677,2362188,3417853,0,505998,55772,0,0
7551677,2362188,3417853,0,505998,55772,0,0
7793116,2586767,3511306,0,641450,65025,0,0
7793116,2586767,3511306,0,641450,65025,0,0
8180550,3164632,3705784,0,1048754,87971,0,0
8180550,3164632,3705784,0,1048754,87971,0,0
8303917,3201124,3772532,0,1063084,89096,0,0
8303917,3201124,3772532,0,1063084,89096,0,0
8458760,3253690,3829765,0,1079614,89747,0,0
8458760,3253690,3829765,0,1079614,89747,0,0
8602082,3315364,3899488,0,1094114,92388,0,0
8602082,3315364,3899488,0,1094114,92388,0,0
8737652,3349315,3967856,0,1105547,92866,0,0
8737652,3349315,3967856,0,1105547,92866,0,0
8866907,3369053,4015026,0,1114729,93008,0,0
8866907,3369053,4015026,0,1114729,93008,0,0
8983574,3390570,4056151,0,1124979,94292,0,0
8983574,3390570,4056151,0,1124979,94292,0,0
9136564,3419378,4097599,0,1137826,94817,0,0
9136564,3419378,4097599,0,1137826,94817,0,0
9269189,3435701,4150383,0,1145621,95033,0,0
9269189,3435701,4150383,0,1145621,95033,0,0
9437341,3512844,4210312,0,1156634,100540,0,0
9437341,3512844,4210312,0,1156634,100540,0,0
9561821,3530141,4251880,0,1167730,100572,0,0
9561821,3530141,4251880,0,1167730,100572,0,0
9705021,3548237,4289859,0,1176978,101356,0,0
9705021,3548237,4289859,0,1176978,101356,0,0
9847944,3570363,4323648,0,1185513,101963,0,0
9847944,3570363,4323648,0,1185513,101963,0,0
9998122,3590844,4368396,0,1195708,102214,0,0
9998122,3590844,4368396,0,1195708,102214,0,0
10252628,3621155,4633470,0,1208411,102220,0,0
10252628,3621155,4633470,0,1208411,102220,0,0
10365529,3644973,4677811,0,1223695,102314,0,0
10365529,3644973,4677811,0,1223695,102314,0,0
10571907,3685561,4746581,0,1235857,102867,0,0
10571907,3685561,4746581,0,1235857,102867,0,0
10688601,3706999,4797525,0,1243951,103544,0,0
10688601,3706999,4797525,0,1243951,103544,0,0
10816912,3723248,4854473,0,1251675,103796,0,0
10816912,3723248,4854473,0,1251675,103796,0,0
10950086,3775566,4923280,0,1264343,103955,0,0
10950086,3775566,4923280,0,1264343,103955,0,0
11037776,3793000,4970523,0,1272165,104096,0,0
11037776,3793000,4970523,0,1272165,104096,0,0
11173001,3817366,5022917,0,1280626,104581,0,0
11173001,3817366,5022917,0,1280626,104581,0,0
11318903,3841248,5068134,0,1290332,105036,0,0
11318903,3841248,5068134,0,1290332,105036,0,0
11492699,3881431,5126025,0,1303109,105850,0,0
11492699,3881431,5126025,0,1303109,105850,0,0
11625227,3896241,5172968,0,1309853,106117,0,0
11625227,3896241,5172968,0,1309853,106117,0,0
11779073,3943028,5213845,0,1325411,106509,0,0
11779073,3943028,5213845,0,1325411,106509,0,0
11995330,4031255,5276531,0,1347091,107401,0,0
11995330,4031255,5276531,0,1347091,107401,0,0
12391080,4258506,5452480,0,1385719,109171,0,0
12391080,4258506,5452480,0,1385719,109171,0,0
12724135,4434576,5587608,0,1417153,109476,0,0
12724135,4434576,5587608,0,1417153,109476,0,0
13174329,4644518,5801541,0,1452179,110106,0,0
13174329,4644518,5801541,0,1452179,110106,0,0
13616492,4826250,5937161,0,1483823,110364,0,0
13616492,4826250,5937161,0,1483823,110364,0,0
14567348,5139882,6110459,0,1524206,118343,0,0
14567348,5139882,6110459,0,1524206,118343,0,0
15056701,5389203,6297639,0,1567821,119261,0,0
15056701,5389203,6297639,0,1567821,119261,0,0
15552238,5590839,6436162,0,1597596,119520,0,0
15552238,5590839,6436162,0,1597596,119520,0,0
15914192,5773291,6540811,0,1618174,120068,0,0
15914192,5773291,6540811,0,1618174,120068,0,0
16053913,5825707,6623228,0,1634707,120313,0,0
16053913,5825707,6623228,0,1634707,120313,0,0
16466827,5913274,6741348,0,1654587,123477,0,0
16466827,5913274,6741348,0,1654587,123477,0,0
16593280,5959720,6794806,0,1666691,124999,0,0
16593280,5959720,6794806,0,1666691,124999,0,0
16715290,5976206,6854175,0,1675015,125479,0,0
16715290,5976206,6854175,0,1675015,125479,0,0
16863544,5992250,6924721,0,1685339,125585,0,0
16863544,5992250,6924721,0,1685339,125585,0,0
17008696,6018349,6980908,0,1693102,127684,0,0
17008696,6018349,6980908,0,1693102,127684,0,0
17120983,6045845,7028003,0,1703937,128940,0,0
17120983,6045845,7028003,0,1703937,128940,0,0
17628213,6149756,7133880,0,1724520,133641,0,0
17628213,6149756,7133880,0,1724520,133641,0,0
17902537,6507633,7309388,0,1832796,175031,0,0
17902537,6507633,7309388,0,1832796,175031,0,0
18029862,6517699,7402381,0,1839408,175097,0,0
18029862,6517699,7402381,0,1839408,175097,0,0
18133914,6528148,7451409,0,1847224,175114,0,0
