size,time
1,1735564698
2,959653647
4,512185367
8,261410207
16,256239975
32,251177658
64,247350456
128,242294965
256,241034606
1,1713448956
2,954279464
4,510174776
8,259111673
16,255712327
32,251056447
64,246624061
128,242206430
256,239283804
1,1720064574
2,1073961655
4,509780077
8,259914441
16,256837043
32,252994694
64,249064649
128,242816307
256,237577938
1,1741756674
2,956475854
4,509397233
8,259890385
16,255343733
32,253860266
64,245990258
128,242261088
256,238028185
1,1716685864
2,952925973
4,510140198
8,259463559
16,255047957
32,252166148
64,248216089
128,244068241
256,238660731
1,1715495365
2,947007170
4,509865274
8,260486459
16,254223401
32,251500020
64,245698581
128,242308978
256,237967475
1,1704132880
2,955295187
4,511052009
8,258372442
16,255009564
32,251878166
64,245615033
128,241749956
256,237721335
1,1712807373
2,947463376
4,509787067
8,258523319
16,254110111
32,251089067
64,246641391
128,242660230
256,238795773
1,1704394274
2,955578476
4,509055566
8,258780307
16,254577590
32,250885978
64,246028687
128,242115504
256,237818011
1,1706277725
2,952222963
4,509435192
8,258518458
16,254552556
32,250691186
64,246377360
128,242271720
256,238714782
1,1703368086
2,967203469
4,508611470
8,258586066
16,254495280
32,250799123
64,246959226
128,242457247
256,238636136
1,1709429008
2,949197557
4,510764780
8,259380603
16,254411081
32,251471647
64,246807905
128,242739868
256,238910815
1,1719722151
2,959195238
4,509176186
8,258508979
16,253878643
32,251228024
64,246765949
128,242269291
256,237827684
1,1704481608
2,955516389
4,509365544
8,258585962
16,254065690
32,250900128
64,246786713
128,241656488
256,239389880
1,1706431665
2,957769752
4,511261966
8,258764862
16,248178707
32,250799314
64,247485711
128,242545226
256,238340088
1,1719811207
2,948433890
4,508847393
8,259063039
16,254250172
32,250655313
64,246347121
128,242395816
256,238332408
1,1738327187
2,953912312
4,510078585
8,261404827
16,256316998
32,253925570
64,246153719
128,243133085
256,238542419
1,1709092575
2,952883016
4,510890259
8,259017164
16,255456643
32,251858432
64,246010725
128,242483747
256,238038465
1,1712287592
2,945927591
4,510617125
8,259906090
16,256167977
32,250982036
64,248579618
128,243806699
256,237916932
1,1729375198
2,956840765
4,511184257
8,259334141
16,254476678
32,251676178
64,246777908
128,243602144
256,240257692
1,1718263202
2,955167076
4,511197165
8,259445894
16,254950511
32,253143095
64,247468467
128,244443122
256,240301557
1,1703969831
2,947860266
4,509851945
8,260947394
16,254577866
32,250732159
64,248668549
128,242736429
256,240242868
1,1722631608
2,952228951
4,509680950
8,259568886
16,254452298
32,252487485
64,248777778
128,242290660
256,240203838
1,1720126814
2,965141847
4,509297794
8,259906990
16,255989648
32,253267824
64,272366978
128,244456245
256,242104679
1,1750129251
2,944660984
4,512254959
8,261743496
16,256004654
32,306521437
64,247079869
128,245339961
256,240315279\size,time
